"id","nome","descricao","tipo","nivel","repositorio","created_at","updated_at","deleted_at","destaque","imagens"
1,"Kino","Kino é uma aplicação para exibir filmes e autores favoritos. Permite explorar detalhes dos filmes e informações sobre diretores e autores de forma intuitiva.","web",2,"https://github.com/portfolio-projetos-dev/kino","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/kino/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/kino/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/kino/raw/main/.gitassets/3.jpg"",""https://github.com/portfolio-projetos-dev/kino/raw/main/.gitassets/4.jpg""]"
2,"Poupig","Poupig é uma aplicação fullstack para gerenciamento de dados financeiros, desenvolvida com Next.js no frontend, NestJS no backend, Prisma para ORM e PostgreSQL como banco de dados.","web",4,"https://github.com/portfolio-projetos-dev/poupig","2025-03-20 08:38:10","2025-03-20 08:38:10",,"true","[""https://github.com/portfolio-projetos-dev/poupig/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/poupig/raw/main/.gitassets/2.jpg""]"
3,"Convit3 Digital","O Convit3 Digital é uma plataforma desenvolvida para facilitar a gestão e envio de convites digitais. Ele permite a criação, personalização e distribuição de convites para eventos de forma rápida e eficiente.","mobile",3,"https://github.com/portfolio-projetos-dev/convit3-digital","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/convit3-digital/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/convit3-digital/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/convit3-digital/raw/main/.gitassets/3.jpg"",""https://github.com/portfolio-projetos-dev/convit3-digital/raw/main/.gitassets/4.jpg""]"
4,"Gam3r Store","Gam3r Store é um e-commerce de tecnologia que oferece uma ampla variedade de produtos, desde gadgets e acessórios até equipamentos de alta performance para gamers. Ideal para quem busca inovação e qualidade.","mobile",3,"https://github.com/portfolio-projetos-dev/gam3r-store","2025-03-20 08:38:10","2025-03-20 08:38:10",,"true","[""https://github.com/portfolio-projetos-dev/gam3r-store/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/gam3r-store/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/gam3r-store/raw/main/.gitassets/3.jpg"",""https://github.com/portfolio-projetos-dev/gam3r-store/raw/main/.gitassets/4.jpg""]"
5,"Barba Brutal","Aplicação para agendamento e gerenciamento de horários em uma barbearia. Desenvolvido com NestJS no backend e Next.js com TypeScript no frontend.","mobile",3,"https://github.com/portfolio-projetos-dev/barba-brutal","2025-03-20 08:38:10","2025-03-20 08:38:10",,"true","[""https://github.com/portfolio-projetos-dev/barba-brutal/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/barba-brutal/raw/main/.gitassets/2.jpg""]"
6,"Ordem Livros","Ordem Livros é uma aplicação que exibe autores, livros e outros dados literários. Desenvolvida utilizando HTML, CSS, Svelte e JavaScript, permite a exploração de listas de livros, biografias dos autores e resenhas.","web",2,"https://github.com/portfolio-projetos-dev/ordem-livros","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/ordem-livros/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/ordem-livros/raw/main/.gitassets/2.jpg""]"
7,"Monty Hall","Monty Hall é uma aplicação que simula o problema de Monty Hall, um quebra-cabeça matemático que ficou famoso por ser um problema de probabilidade. Desenvolvido com React.","jogo",2,"https://github.com/portfolio-projetos-dev/monty-hall","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/monty-hall/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/monty-hall/raw/main/.gitassets/2.jpg""]"
8,"Matador de Monstros","Matador de Monstros é um jogo simples desenvolvido com Vue.js. O objetivo é matar monstros e ganhar pontos. O jogo possui um sistema de pontuação e um sistema de cura para o jogador.","jogo",2,"https://github.com/portfolio-projetos-dev/matador-monstros","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/matador-monstros/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/matador-monstros/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/matador-monstros/raw/main/.gitassets/3.jpg""]"
9,"Flappy Bird","Flappy Bird é um jogo simples desenvolvido com HTML, CSS e JavaScript. O objetivo é fazer o pássaro passar por entre os canos sem colidir. O jogo possui um sistema de pontuação e um sistema de colisão.","jogo",2,"https://github.com/portfolio-projetos-dev/flappy-bird","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/flappy-bird/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/flappy-bird/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/flappy-bird/raw/main/.gitassets/3.jpg""]"
10,"Jogo da Velha","Jogo da Velha é um jogo clássico desenvolvido com HTML, CSS e JavaScript. O objetivo é formar uma linha com três símbolos iguais. O jogo possui um sistema de pontuação e um sistema de vitória.","jogo",2,"https://github.com/portfolio-projetos-dev/jogo-da-velha","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/jogo-da-velha/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/jogo-da-velha/raw/main/.gitassets/2.jpg""]"
11,"Quiz","Quiz é uma aplicação de perguntas e respostas desenvolvida com React e ChatGPT. O objetivo é responder corretamente o maior número de perguntas possível.","web",2,"https://github.com/portfolio-projetos-dev/quiz","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/quiz/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/quiz/raw/main/.gitassets/2.jpg""]"
12,"Xadrez com IA","Batalha de IAs no Xadrez. O projeto consiste em uma aplicação que permite a simulação de partidas de xadrez entre duas inteligências artificiais. Desenvolvido com uma aplicação full stack em Nextjs.","jogo",2,"https://github.com/portfolio-projetos-dev/xadrez-ia","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/xadrez-ia/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/xadrez-ia/raw/main/.gitassets/2.jpg""]"
13,"Todo List","Um aplicação de tarefas simples para organizar o seu dia a dia. Desenvolvido com React, permite a criação de tarefas, marcação de tarefas concluídas e exclusão de tarefas.","web",2,"https://github.com/portfolio-projetos-dev/todo-list","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/todo-list/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/todo-list/raw/main/.gitassets/2.jpg""]"
14,"Instagram (Clone)","Clone do Instagram desenvolvido com React Native. O projeto consiste em uma aplicação que permite a criação de posts, comentários e curtidas, além de possuir um sistema de autenticação de usuários.","mobile",2,"https://github.com/portfolio-projetos-dev/clone-instagram","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/clone-instagram/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/clone-instagram/raw/main/.gitassets/2.jpg""]"
15,"Campo Minado","Campo Minado é um jogo clássico desenvolvido com React Native. O objetivo é descobrir todas as células sem bombas. O jogo possui um sistema de pontuação e um sistema de vitória.","mobile",2,"https://github.com/portfolio-projetos-dev/campo-minado","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/campo-minado/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/campo-minado/raw/main/.gitassets/2.jpg""]"
16,"Calculadora","Calculadora desenvolvida em Flutter para realizar operações matemáticas básicas. O projeto consiste em uma aplicação que permite a realização de operações de soma, subtração, multiplicação e divisão.","mobile",2,"https://github.com/portfolio-projetos-dev/calculadora","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/calculadora/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/calculadora/raw/main/.gitassets/2.jpg""]"
17,"Aplicacao Chat","Aplicação de chat desenvolvida com Flutter. O projeto consiste em uma aplicação que permite a comunicação entre usuários através de mensagens de texto. O chat possui um sistema de envio de mensagens e um sistema de notificação de novas mensagens.","mobile",2,"https://github.com/portfolio-projetos-dev/aplicacao-chat","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/aplicacao-chat/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/aplicacao-chat/raw/main/.gitassets/2.jpg""]"
18,"In N' Out","In N' Out é uma aplicação de controle de ponto digital para empresas desenvolvida com PHP. O projeto consiste em uma aplicação que permite o registro de entrada e saída de funcionários, além de possuir um sistema de relatórios e gráficos.","web",2,"https://github.com/portfolio-projetos-dev/innout","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false","[""https://github.com/portfolio-projetos-dev/innout/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/innout/raw/main/.gitassets/2.jpg""]"
19,"Plataforma EAD","Plataforma de Ensino a Distância desenvolvida com Next.js e Nest.js. Esse é o nosso maior projeto e tem a participação dos nosso alunos. Usamos um modelo de arquitetura mais avançado, com DDD (Domain Driven Design) e arquitetura limpa.","web",2,"https://github.com/portfolio-projetos-dev/plataforma-ead","2025-03-20 08:38:10","2025-03-20 08:38:10",,"true","[""https://github.com/portfolio-projetos-dev/plataforma-ead/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/plataforma-ead/raw/main/.gitassets/2.jpg""]"
