"id","nome","descricao","imagem","created_at","updated_at","deleted_at","destaque"
1,"HTML","Linguagem de marcação para estruturação de páginas web.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/html.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
2,"CSS","Linguagem de estilos para definição do design e layout das páginas web.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/css.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
3,"JavaScript","Linguagem de programação para interatividade em páginas web.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/javascript.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
4,"TypeScript","Superset do JavaScript que adiciona tipagem estática.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/typescript.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"true"
5,"Node.js","Ambiente de execução JavaScript no lado do servidor.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/node.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"true"
6,"Java","Linguagem de programação orientada a objetos.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/java.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"true"
7,"Python","Linguagem de programação interpretada de alto nível.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/python.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"true"
8,"NestJS","Framework para construção de aplicações back-end em Node.js.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/nest.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"true"
9,"Express.js","Framework web minimalista para Node.js.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/express.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
10,"React","Biblioteca JavaScript para construção de interfaces de usuário.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/react.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"true"
